code,name,listing_date,shares,listing_board
AALI,Astra Agro Lestari Tbk.,1997-12-09T00:00:00,1924688333.0,Utama
ABBA,Mahaka Media Tbk.,2002-04-03T00:00:00,3935892857.0,Pemantauan Khusus
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06T00:00:00,620806680.0,Pengembangan
ABMM,ABM Investama Tbk.,2011-12-06T00:00:00,2753165000.0,Utama
ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06T00:00:00,17120389700.0,Utama
ACST,Acset Indonusa Tbk.,2013-06-24T00:00:00,17675160000.0,Pemantauan Khusus
ADES,Akasha Wira International Tbk.,1994-06-13T00:00:00,589896800.0,Pemantauan Khusus
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18T00:00:00,8407608979.0,Utama
AISA,FKS Food Sejahtera Tbk.,1997-06-11T00:00:00,9311800000.0,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01T00:00:00,6449463636.0,Pemantauan Khusus
AKPI,Argha Karya Prima Industry Tbk,1992-12-18T00:00:00,612248000.0,Pengembangan
AKRA,AKR Corporindo Tbk.,1994-10-03T00:00:00,20073474600.0,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13T00:00:00,720000000.0,Pengembangan
ALDO,Alkindo Naratama Tbk.,2011-07-12T00:00:00,2700713744.0,Utama
ALKA,Alakasa Industrindo Tbk,1990-07-12T00:00:00,507665055.0,Pengembangan
ALMI,Alumindo Light Metal Industry ,1997-01-02T00:00:00,3816000000.0,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk.,2012-07-10T00:00:00,2191870558.0,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23T00:00:00,5001552516.0,Utama
AMFG,Asahimas Flat Glass Tbk.,1995-11-08T00:00:00,434000000.0,Pengembangan
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10T00:00:00,1080000000.0,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15T00:00:00,41524501700.0,Utama
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08T00:00:00,3354175000.0,Pengembangan
ANTM,ANTAM (Persero) Tbk.,1997-11-27T00:00:00,24030764725.0,Utama
APEX,Apexindo Pratama Duta Tbk.,2013-06-05T00:00:00,3546466661.0,Pengembangan
APIC,Pacific Strategic Financial Tb,2002-12-18T00:00:00,11766313488.0,Pengembangan
APII,Arita Prima Indonesia Tbk.,2013-10-29T00:00:00,1075760000.0,Pengembangan
APLI,Asiaplast Industries Tbk.,2000-05-01T00:00:00,1362671400.0,Pengembangan
APLN,Agung Podomoro Land Tbk.,2010-11-11T00:00:00,22699326779.0,Utama
ARGO,Argo Pantes Tbk,1991-01-07T00:00:00,3174339029.0,Pengembangan
ARII,Atlas Resources Tbk.,2011-11-08T00:00:00,3750000000.0,Pengembangan
ARNA,Arwana Citramulia Tbk.,2001-07-17T00:00:00,7341430976.0,Utama
ARTA,Arthavest Tbk,2002-11-05T00:00:00,446674175.0,Pengembangan
ARTI,Ratu Prabu Energi Tbk,2003-04-30T00:00:00,7840000000.0,Pemantauan Khusus
ARTO,Bank Jago Tbk.,2016-01-12T00:00:00,13722768400.0,Utama
ASBI,Asuransi Bintang Tbk.,1989-11-29T00:00:00,348386472.0,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15T00:00:00,384000000.0,Pengembangan
ASGR,Astra Graphia Tbk.,1989-11-15T00:00:00,1348780500.0,Utama
ASII,Astra International Tbk.,1990-04-04T00:00:00,40483553140.0,Utama
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23T00:00:00,1400000000.0,Pengembangan
ASMI,Asuransi Maximus Graha Persada,2014-01-16T00:00:00,8958380460.0,Pemantauan Khusus
ASRI,Alam Sutera Realty Tbk.,2007-12-18T00:00:00,19649411888.0,Utama
ASRM,Asuransi Ramayana Tbk.,1990-03-19T00:00:00,1277992036.0,Pengembangan
ASSA,Adi Sarana Armada Tbk.,2012-11-12T00:00:00,3691137517.0,Utama
ATIC,Anabatic Technologies Tbk.,2015-07-08T00:00:00,2894201693.0,Pengembangan
AUTO,Astra Otoparts Tbk.,1998-06-15T00:00:00,4819733000.0,Utama
BABP,Bank MNC Internasional Tbk.,2002-07-15T00:00:00,44014333126.0,Pengembangan
BACA,Bank Capital Indonesia Tbk.,2007-10-04T00:00:00,19753494636.0,Utama
BAJA,Saranacentral Bajatama Tbk.,2011-12-21T00:00:00,1800000000.0,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,2014-03-13T00:00:00,3934592500.0,Utama
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14T00:00:00,661784520.0,Pengembangan
BATA,Sepatu Bata Tbk.,1982-03-24T00:00:00,1300000000.0,Pemantauan Khusus
BAYU,Bayu Buana Tbk,1989-10-30T00:00:00,353220780.0,Utama
BBCA,Bank Central Asia Tbk.,2000-05-31T00:00:00,122042299500.0,Utama
BBHI,Allo Bank Indonesia Tbk.,2015-08-12T00:00:00,21512953877.0,Utama
BBKP,Bank KB Indonesia Tbk.,2006-07-10T00:00:00,185819884852.0,Pengembangan
BBLD,Buana Finance Tbk.,1990-05-07T00:00:00,1645796054.0,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,2013-07-08T00:00:00,4049189100.0,Utama
BBNI,Bank Negara Indonesia (Persero,1996-11-25T00:00:00,36924339786.0,Utama
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10T00:00:00,150043411587.0,Utama
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09T00:00:00,8479490328.0,Pengembangan
BBTN,Bank Tabungan Negara (Persero),2009-12-17T00:00:00,13894099969.0,Utama
BBYB,Bank Neo Commerce Tbk.,2015-01-13T00:00:00,13216977523.0,Utama
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08T00:00:00,42618850927.0,Utama
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25T00:00:00,17926071041.0,Pengembangan
BCIP,Bumi Citra Permai Tbk.,2009-12-11T00:00:00,1429915525.0,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06T00:00:00,9675817341.0,Utama
BEKS,Bank Pembangunan Daerah Banten,2001-07-13T00:00:00,51351733883.0,Pemantauan Khusus
BEST,Bekasi Fajar Industrial Estate,2012-04-10T00:00:00,9647311150.0,Utama
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16T00:00:00,15039383620.0,Utama
BGTG,Bank Ganesha Tbk.,2016-05-12T00:00:00,23731287132.0,Utama
BHIT,MNC Asia Holding Tbk.,1997-11-24T00:00:00,86068156705.0,Pemantauan Khusus
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14T00:00:00,592280000.0,Pemantauan Khusus
BIMA,Primarindo Asia Infrastructure,1994-08-30T00:00:00,608175716.0,Pemantauan Khusus
BINA,Bank Ina Perdana Tbk.,2014-01-16T00:00:00,6073369498.0,Utama
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11T00:00:00,63710196917.0,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23T00:00:00,5028669376.0,Pengembangan
BIRD,Blue Bird Tbk.,2014-11-05T00:00:00,2502100000.0,Utama
BISI,BISI International Tbk.,2007-05-28T00:00:00,3000000000.0,Utama
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08T00:00:00,10416229249.0,Utama
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12T00:00:00,14865343101.0,Utama
BKDP,Bukit Darmo Property Tbk,2007-06-15T00:00:00,7513992252.0,Pengembangan
BKSL,Sentul City Tbk.,1997-07-28T00:00:00,167708902705.0,Utama
