date,broker_code,broker_name,volume,value,frequency
2026-08-27,XL,Stockbit Sekuritas Digital,13815257230,3790572773526,1229629
2026-08-27,AK,UBS Sekuritas Indonesia,5346998088,3095218934662,283868
2026-08-27,CC,MANDIRI SEKURITAS,5553197920,2548469395000,330423
2026-08-27,ZP,Maybank Sekuritas Indonesia,4739854190,2131202699252,115965
2026-08-27,YP,Mirae Asset Sekuritas Indonesia,4057396467,1347367953744,257266
2026-08-27,PD,Indo Premier Sekuritas,1938926870,935511018200,152080
2026-08-27,DH,SINARMAS SEKURITAS,357482515,930010072340,18289
2026-08-27,XC,Ajaib Sekuritas Asia,2176597500,821049982000,222360
2026-08-27,BK,J.P. Morgan Sekuritas Indonesia,1006100020,804491411270,70532
2026-08-27,CP,KB Valbury Sekuritas,3122146600,800184323200,144200
2026-08-27,MG,Semesta Indovest Sekuritas,3846479400,775695666800,103493
2026-08-27,YU,CGS International Sekuritas Indonesia,4104443412,712013188748,60593
2026-08-27,LG,Trimegah Sekuritas Indonesia Tbk.,1523712700,653814145900,46797
2026-08-27,KK,Phillip Sekuritas Indonesia,2430678900,588284692200,72679
2026-08-27,IF,SAMUEL SEKURITAS INDONESIA,767426900,551440070900,17655
2026-08-27,AZ,Sucor Sekuritas,1616826046,543511949010,50570
2026-08-27,SQ,BCA Sekuritas,951560755,537457083300,56659
2026-08-27,OD,BRI Danareksa Sekuritas,936636000,491747474800,65231
2026-08-27,NI,BNI Sekuritas,1079370600,486742679500,72815
2026-08-27,HD,KGI Sekuritas Indonesia,1124306000,332212212900,43370
2026-08-27,GR,PANIN SEKURITAS Tbk.,885364000,322656906900,35071
2026-08-27,BQ,Korea Investment and Sekuritas Indonesia,967864400,280118741500,54422
2026-08-27,HP,Henan Putihrai Sekuritas,648198400,275596283300,11439
2026-08-27,DR,RHB Sekuritas Indonesia,613786600,268731292500,36417
2026-08-27,XA,NH Korindo Sekuritas Indonesia,765139300,259650932800,36221
2026-08-27,KZ,CLSA Sekuritas Indonesia,143348000,257187681700,21077
2026-08-27,EP,MNC Sekuritas,675959600,208386473300,49428
2026-08-27,BB,Verdhana Sekuritas Indonesia,148076916,203124999720,19116
2026-08-27,TP,OCBC Sekuritas Indonesia,372551000,193183325600,16661
2026-08-27,YB,Yakin Bertumbuh Sekuritas,690355400,192690884700,36522
2026-08-27,RX,Macquarie Sekuritas Indonesia,45430470,185539343900,7299
2026-08-27,YJ,Lotus Andalan Sekuritas,494104000,169310895600,12659
2026-08-27,KI,Ciptadana Sekuritas Asia,334750100,138284946300,14588
2026-08-27,DX,Bahana Sekuritas,117374538,126280563070,10279
2026-08-27,AG,Kiwoom Sekuritas Indonesia,308544900,114097382500,15575
2026-08-27,AI,Kay Hian Sekuritas,288464100,113606955300,11421
2026-08-27,AO,ERDIKHA ELIT SEKURITAS,284155500,112579604300,13653
2026-08-27,SS,Supra Sekuritas Indonesia,1883798100,94986838500,6107
2026-08-27,RF,Buana Capital Sekuritas,625615900,84339289700,2606
2026-08-27,AT,Phintraco Sekuritas,227855000,70443605900,13534
2026-08-27,CD,Mega Capital Sekuritas,118406770,67749995500,4127
2026-08-27,BR,Trust Sekuritas,183368700,65042424300,10062
2026-08-27,TS,Dwidana Sakti Sekuritas,140424700,49978306900,3356
2026-08-27,SH,Artha Sekuritas Indonesia,87019900,49863505700,3302
2026-08-27,IN,INVESTINDO NUSANTARA SEKURITA,177922500,46009013600,4750
2026-08-27,DP,DBS Vickers Sekuritas Indonesia,82647300,43195437900,4733
2026-08-27,RO,Pluang Maju Sekuritas,88707200,43127219900,7685
2026-08-27,LS,Reliance Sekuritas Indonesia Tbk.,136700100,43120404100,4871
2026-08-27,FZ,Waterfront Sekuritas Indonesia,129535600,40168631000,4303
2026-08-27,SA,Elit Sukses Sekuritas,98366064,37151172628,3928
2026-08-27,FS,Yuanta Sekuritas Indonesia,115545200,29285803200,3528
2026-08-27,IH,Indo Harvest Sekuritas,110205200,28971072500,5268
2026-08-27,PO,Pilarmas Investindo Sekuritas,64083500,24451372900,1938
2026-08-27,IU,Indo Capital Sekuritas,178803400,23988425500,3768
2026-08-27,PC,FAC Sekuritas Indonesia,98402500,22333049100,7219
2026-08-27,PG,Panca Global Sekuritas,53242000,17826183200,2078
2026-08-27,EL,Evergreen Sekuritas Indonesia,28662900,17662690400,1583
2026-08-27,MI,Victoria Sekuritas Indonesia,30758300,14662846300,1421
2026-08-27,II,Danatama Makmur Sekuritas,28319400,13747806000,1066
2026-08-27,OK,NET SEKURITAS,16343165,13741450950,238
2026-08-27,ES,EKOKAPITAL SEKURITAS,30996700,13215556400,998
2026-08-27,DU,KAF Sekuritas Indonesia,68845500,12952836900,2902
2026-08-27,GA,BNC Sekuritas Indonesia,11701000,10957320000,571
2026-08-27,QA,Tuntun Sekuritas Indonesia,97908500,10926243700,3965
2026-08-27,ZR,Bumiputera Sekuritas,18722300,10895709200,2156
2026-08-27,AR,Binaartha Sekuritas,49745600,10499310300,1498
2026-08-27,GI,Webull Sekuritas Indonesia,28385000,10172517800,1506
2026-08-27,RG,Profindo Sekuritas Indonesia,20063400,9557505500,1310
2026-08-27,BS,Equity Sekuritas Indonesia,12006500,8606456900,710
2026-08-27,PF,Danasakti Sekuritas Indonesia,25962900,6935589000,687
2026-08-27,PI,Magenta Kapital Sekuritas Indonesia,18588500,6068310500,1032
2026-08-27,AH,Shinhan Sekuritas Indonesia,8922700,6066369300,831
2026-08-27,RS,Yulie Sekuritas Indonesia Tbk.,10790700,5215313900,943
2026-08-27,ID,Anugerah Sekuritas Indonesia,20454900,4935846400,1187
2026-08-27,MU,Minna Padi Investama Sekuritas,33454100,4663413300,883
2026-08-27,AF,Harita Kencana Sekuritas,5625300,4498230000,204
2026-08-27,RB,Ina Sekuritas Indonesia,10226700,4281338200,981
2026-08-27,SF,Surya Fajar Sekuritas,16831300,3860933700,1270
2026-08-27,IC,Integrity Capital Sekuritas,25695300,3407088400,650
2026-08-27,AP,Pacific Sekuritas Indonesia,3764450,2699615500,15
2026-08-27,AD,Sukadana Prima Sekuritas,6546100,2180131200,455
2026-08-27,BF,Inti Fikasa Sekuritas,5923100,1536308400,300
2026-08-27,TF,Laba Sekuritas Indonesia,7776400,1396567400,507
2026-08-27,PP,Aldiracita Sekuritas Indonesia,150000,1237997500,93
2026-08-27,IT,INTI TELADAN SEKURITAS,2714000,744063000,961
2026-08-27,YO,Amantara Sekuritas Indonesia,2926200,584083500,95
2026-08-27,DD,Makindo Sekuritas,151300,234295700,48
2026-08-27,FO,Forte Global Sekuritas,3524400,52793400,9
