ticker,period_end,observed_date,published_at,metric_key,value,unit,basis,evidence_type,source_tier,source_title,source_url,source_document_date,notes
BBCA,2026-06-30,2026-08-16,,NPL_GROSS_PCT,1.9,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BCA 1H 2026 press release","https://www.bca.co.id/en/tentang-bca/media-riset/pressroom/siaran-pers/2026/07/29/07/10/pertama-kali-kredit-tembus-rp1000-triliun-bca-komit-dukung-perekonomian-nasional",2026-07-28,"Observed by SahamLens 2026-08-16; source reports NPL 1.9%. Not usable as PIT evidence before observed_date."
BBCA,2026-06-30,2026-08-16,,CASA_PCT,84.3,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BCA 1H 2026 press release","https://www.bca.co.id/en/tentang-bca/media-riset/pressroom/siaran-pers/2026/07/29/07/10/pertama-kali-kredit-tembus-rp1000-triliun-bca-komit-dukung-perekonomian-nasional",2026-07-28,"Observed by SahamLens 2026-08-16; source reports CASA share around 84.3%."
BMRI,2026-06-30,2026-08-16,,NPL_GROSS_PCT,1.01,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"Bank Mandiri IR Corporate Snapshot as of June 2026","https://www.bankmandiri.co.id/en/web/ir",, "Observed by SahamLens 2026-08-16; basis not explicitly attached to this metric on snapshot page."
BMRI,2026-06-30,2026-08-16,,CASA_PCT,69.2,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"Bank Mandiri IR Corporate Snapshot as of June 2026","https://www.bankmandiri.co.id/en/web/ir",,"Observed by SahamLens 2026-08-16."
BMRI,2026-06-30,2026-08-16,,LDR_PCT,92.3,PCT,BANK_ONLY,REPORTED,ISSUER_IR,"Bank Mandiri IR Corporate Snapshot as of June 2026","https://www.bankmandiri.co.id/en/web/ir",,"Source explicitly labels Loan to Deposit Ratio - Bank Entity."
BMRI,2026-06-30,2026-08-16,,CAR_PCT,17.9,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"Bank Mandiri IR Corporate Snapshot as of June 2026","https://www.bankmandiri.co.id/en/web/ir",,"Observed by SahamLens 2026-08-16; basis not explicitly attached to this metric on snapshot page."
BBNI,2026-03-31,2026-08-16,2026-04-29T09:43:00+07:00,NPL_GROSS_PCT,1.9,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BNI Q1 2026 performance press release","https://bni.co.id/id-id/beranda/kabar-bni/berita/articleid/26576",2026-04-29,"Observed by SahamLens 2026-08-16; not treated as available to model before observed_date."
BBNI,2026-03-31,2026-08-16,2026-04-29T09:43:00+07:00,COST_OF_CREDIT_PCT,1.1,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BNI Q1 2026 performance press release","https://bni.co.id/id-id/beranda/kabar-bni/berita/articleid/26576",2026-04-29,"Credit cost reported at 1.1%."
BBNI,2026-03-31,2026-08-16,2026-04-29T09:43:00+07:00,LDR_PCT,83.5,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BNI Q1 2026 performance press release","https://bni.co.id/id-id/beranda/kabar-bni/berita/articleid/26576",2026-04-29,"LDR reported at 83.5%."
BBNI,2026-03-31,2026-08-16,2026-04-29T09:43:00+07:00,CAR_PCT,18.5,PCT,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BNI Q1 2026 performance press release","https://bni.co.id/id-id/beranda/kabar-bni/berita/articleid/26576",2026-04-29,"KPMM/CAR reported at 18.5%."
BBNI,2026-03-31,2026-08-16,2026-04-29T09:43:00+07:00,PPOP_IDR,9300000000000,IDR,DISCLOSED_UNSPECIFIED,REPORTED,ISSUER_IR,"BNI Q1 2026 performance press release","https://bni.co.id/id-id/beranda/kabar-bni/berita/articleid/26576",2026-04-29,"PPOP reported Rp9.3 trillion; normalized to full IDR."
BBRI,2026-03-31,2026-08-16,2026-07-14T07:48:04+07:00,CASA_PCT,68.07,PCT,CONSOLIDATED,REPORTED,ISSUER_IR,"BRI Q1 2026 performance referenced in official July press release","https://bri.co.id/web/guest/news-detail/1677",2026-07-14,"Official BRI source explicitly states CASA consolidated 68.07% of DPK for Q1 2026; observed by SahamLens 2026-08-16."
