ticker,observed_date,period_end,per,pbv,roe,der,current_ratio,revenue_growth,source
"ADMR","2025-03-03","2024-12-31","4.48","1.39","30.94","0.4","3.58","6.28","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-03 (IDR) + FX USDIDR=X@2025-03-03; observed_date verified: Alamtri Minerals official FY24 financial statements release"
"ADMR","2025-04-29","2025-03-31","35.51","1.57","4.43","0.46","3.53",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-29 (IDR) + FX USDIDR=X@2025-04-29; observed_date verified: Alamtri Minerals official 1Q25 financial statements release"
"ADMR","2025-08-29","2025-06-30","17.89","1.76","9.81","0.62","2.36",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-08-29 (IDR) + FX USDIDR=X@2025-08-28; observed_date verified: Alamtri Minerals official 1H25 financial statements release"
"ADRO","2025-03-04","2024-12-31","2.54","0.71","28.01","0.27","4.02","-2.66","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-04 (IDR) + FX USDIDR=X@2025-03-04; observed_date verified: Alamtri official FY24 financial statements release"
"ADRO","2025-04-30","2025-03-31","44.66","0.72","1.6","0.25","4.98",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-30 (IDR) + FX USDIDR=X@2025-04-30; observed_date verified: Alamtri official 1Q25 financial statements release"
"ADRO","2025-08-29","2025-06-30","18.31","0.71","3.87","0.31","3.79",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-08-29 (IDR) + FX USDIDR=X@2025-08-28; observed_date verified: Alamtri official 1H25 financial statements release"
"AKRA","2025-04-25","2025-03-31","41.41","1.93","4.65","1.43","1.63",,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-25 (IDR); observed_date verified: AKR official Q1 2025 results release"
"AKRA","2025-07-28","2025-06-30","22.09","2.22","10.04","1.43","1.69",,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-07-28 (IDR); observed_date verified: AKR official H1 2025 results release"
"AMMN","2025-03-20","2024-12-31","43.58","5.38","12.34","1.14","2.02","31","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-20 (IDR) + FX USDIDR=X@2025-03-20; observed_date verified: AMMAN official FY2024 earnings release"
"AMMN","2025-07-31","2025-06-30",,"7.43","-2.99","1.53","1.94",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-31 (IDR) + FX USDIDR=X@2025-07-31; observed_date verified: AMMAN official H1 2025 earnings release"
"BBNI","2025-01-22","2024-12-31","8.31","1.1","13.24","5.95",,"-0.07","Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-01-22 (IDR); observed_date verified: BNI official FY2024 performance release"
"BBNI","2025-04-28","2025-03-31","29.01","0.93","3.2","5.79",,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-28 (IDR); observed_date verified: BNI official Q1 2025 performance release"
