"ticker","period_end","observed_date","publication_source"
"AKRA","2025-03-31","2025-04-25","AKR official Q1 2025 results release"
"AKRA","2025-06-30","2025-07-28","AKR official H1 2025 results release"
"AMMN","2024-12-31","2025-03-20","AMMAN official FY2024 earnings release"
"AMMN","2025-06-30","2025-07-31","AMMAN official H1 2025 earnings release"
"BBNI","2024-12-31","2025-01-22","BNI official FY2024 performance release"
"BBNI","2025-03-31","2025-04-28","BNI official Q1 2025 performance release"
"BMRI","2025-03-31","2025-04-29","Bank Mandiri official 1Q25 results presentation"
"BREN","2024-12-31","2025-03-21","Barito Renewables official FY2024 release"
"BREN","2025-03-31","2025-04-30","Barito Renewables official 3M2025 release"
"BREN","2025-06-30","2025-07-31","Barito Renewables official 6M2025 release"
"BRIS","2025-03-31","2025-04-30","BSI official Q1 2025 financial report"
"BRIS","2025-06-30","2025-09-19","BSI official Q2 2025 financial report"
"BRPT","2024-12-31","2025-03-17","Barito Pacific official FY2024 release"
"BRPT","2025-03-31","2025-04-30","Barito Pacific official 3M2025 release"
"BRPT","2025-06-30","2025-07-31","Barito Pacific official 6M2025 release"
"BULL","2025-06-30","2025-07-31","BULL official Q2 2025 financial statement"
"CPIN","2025-03-31","2025-04-30","CPIN official Q1 2025 financial statements upload"
"DSSA","2024-12-31","2025-03-21","DSSA official FY2024 financial results announcement"
"DSSA","2025-03-31","2025-05-28","DSSA official Q1 2025 release"
"DSSA","2025-06-30","2025-09-10","DSSA official H1 2025 announcement"
"ESSA","2024-12-31","2025-02-21","ESSA official FY2024 financial report release"
"ESSA","2025-03-31","2025-04-29","ESSA official Q1 2025 financial report release"
"ESSA","2025-06-30","2025-07-25","ESSA official H1 2025 financial report release"
"INCO","2024-12-31","2025-02-19","PT Vale official 4Q24 financial results"
"INCO","2025-03-31","2025-04-24","PT Vale official 1Q25 financial results"
"INCO","2025-06-30","2025-07-30","PT Vale official 2Q25 results release"
"INDY","2025-03-31","2025-04-30","Indika Energy official 3M25 results presentation"
"INDY","2025-06-30","2025-07-31","Indika Energy official 6M25 results presentation"
"ITMG","2025-03-31","2025-05-09","ITMG official 3M25 financial results submitted to IDX"
"JPFA","2024-12-31","2025-02-28","JAPFA official FY2024 audited financial statements"
"JPFA","2025-03-31","2025-04-30","JAPFA official Q1 2025 financial statements"
"JPFA","2025-06-30","2025-07-31","JAPFA official H1 2025 financial statements"
"KLBF","2024-12-31","2025-04-16","Kalbe official FY2024 audited results"
"KLBF","2025-03-31","2025-05-09","Kalbe official Q1 2025 results"
"KLBF","2025-06-30","2025-08-07","Kalbe official Q2 2025 results"
"MAPI","2025-03-31","2025-04-30","MAP official Q1 2025 results release"
"MAPI","2025-06-30","2025-07-30","MAP official Q2 H1 2025 results release"
"MBMA","2024-12-31","2025-04-07","MBMA official FY2024 results release"
"MBMA","2025-03-31","2025-06-30","MBMA official Q1 2025 results release"
"MBMA","2025-06-30","2025-09-25","MBMA official H1 2025 results release"
"MDKA","2024-12-31","2025-04-07","MDKA official Q4 2024 financial report"
"MDKA","2025-03-31","2025-06-30","MDKA official Q1 2025 financial report"
"MDKA","2025-06-30","2025-09-25","MDKA official Q2 2025 financial report"
"MEDC","2024-12-31","2025-03-28","MedcoEnergi official FY24 results"
"MEDC","2025-03-31","2025-05-30","MedcoEnergi official Q1 2025 results"
"MEDC","2025-06-30","2025-07-31","MedcoEnergi official H1 2025 results"
"TINS","2025-03-31","2025-04-30","PT TIMAH official Q1 2025 financial release"
"TINS","2025-06-30","2025-07-31","PT TIMAH official H1 2025 financial release"
"UNTR","2025-03-31","2025-04-29","United Tractors official Q1 2025 release"
"UNTR","2025-06-30","2025-07-30","United Tractors official H1 2025 release"
"UNVR","2025-03-31","2025-04-24","Unilever Indonesia official Q1 2025 earnings call"
"UNVR","2025-06-30","2025-07-31","Unilever Indonesia official H1 2025 earnings call"
PTBA,2025-03-31,2025-04-30,PTBA official Q1 2025 financial performance release
ADRO,2024-12-31,2025-03-04,Alamtri official FY24 financial statements release
ADRO,2025-03-31,2025-04-30,Alamtri official 1Q25 financial statements release
ADRO,2025-06-30,2025-08-29,Alamtri official 1H25 financial statements release

ADMR,2024-12-31,2025-03-03,Alamtri Minerals official FY24 financial statements release
ADMR,2025-03-31,2025-04-29,Alamtri Minerals official 1Q25 financial statements release
ADMR,2025-06-30,2025-08-29,Alamtri Minerals official 1H25 financial statements release

PGAS,2024-12-31,2025-03-26,PGN official 12M2024 consolidated financial statement
PGAS,2025-03-31,2025-04-29,PGN official 3M2025 consolidated financial statement
PGAS,2025-06-30,2025-08-29,PGN official 6M2025 consolidated financial statement
ISAT,2024-12-31,2025-02-10,Ooredoo Group official - IOH FY2024 results announcement
ISAT,2025-03-31,2025-04-30,Ooredoo Group official - IOH Q1 2025 results announcement
ISAT,2025-06-30,2025-07-30,Ooredoo Group official - IOH H1 2025 results announcement
DGWG,2024-12-31,2025-04-08,DGWG official FY2024 audited results announcement
DGWG,2025-03-31,2025-04-30,DGWG official Q1 2025 financial statements
DGWG,2025-06-30,2025-07-30,DGWG official H1 2025 financial statements
BRMS,2024-12-31,2025-03-25,BRMS official FY2024 financial results release
BRMS,2025-03-31,2025-04-29,BRMS official Q1 2025 financial results release
BRMS,2025-06-30,2025-07-30,BRMS official H1 2025 financial results release
