ticker,observed_date,period_end,per,pbv,roe,der,current_ratio,revenue_growth,source
ASII,2024-10-31,2024-09-30,8.07,0.8,9.87,0.79,,2.2,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=454276
ASII,2025-02-27,2024-12-31,5.46,0.68,12.54,0.74,,4.5,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=459590
ASII,2025-05-02,2025-03-31,27.99,0.69,2.46,0.76,,2.7,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=463756
ASII,2025-07-31,2025-06-30,13.38,0.74,5.57,0.75,,1.8,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470510
BBCA,2024-10-23,2024-09-30,31.63,5.08,16.05,4.6,,9.0,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=453480
BBCA,2025-01-23,2024-12-31,21.25,4.43,20.86,4.51,,8.5,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=458390
BBCA,2025-04-23,2025-03-31,75.25,4.32,5.74,5.22,,6.1,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=462689
BBCA,2025-07-30,2025-06-30,35.21,3.9,11.08,4.75,,6.9,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470336
BBRI,2024-10-30,2024-09-30,15.68,2.14,13.68,4.95,,12.8,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=454158
BBRI,2025-02-12,2024-12-31,10.05,1.87,18.61,5.17,,11.3,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=459014
BBRI,2025-04-30,2025-03-31,42.24,1.89,4.47,5.86,,-0.6,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=463452
BBRI,2025-07-31,2025-06-30,21.18,1.73,8.16,5.54,,2.6,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470571
TLKM,2024-10-30,2024-09-30,16.26,1.86,11.45,0.85,,0.9,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=454159
TLKM,2025-04-19,2024-12-31,10.69,1.55,14.55,0.84,,0.5,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=462458
TLKM,2025-05-05,2025-03-31,46.05,1.57,3.41,0.76,,-2.1,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=464024
TLKM,2025-08-01,2025-06-30,26.64,1.97,7.4,0.98,,-3.1,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470781
STAA,2024-10-29,2024-09-30,12.07,1.86,15.43,0.4,,15.8,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=453851
STAA,2025-03-18,2024-12-31,7.44,1.62,21.73,0.37,,20.8,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=460507
STAA,2025-04-24,2025-03-31,30.77,1.5,4.86,0.37,,30.8,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=462745
STAA,2025-07-22,2025-06-30,14.02,1.55,11.02,0.4,,33.3,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=469329
AUTO,2024-10-29,2024-09-30,8.1,0.81,9.93,0.37,,0.7,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=453974
AUTO,2025-02-24,2024-12-31,4.77,0.62,13.05,0.35,,2.7,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=459447
AUTO,2025-04-25,2025-03-31,20.41,0.64,3.13,0.37,,6.5,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=462884
AUTO,2025-07-29,2025-06-30,10.79,0.64,5.92,0.39,,4.3,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470024
BFIN,2024-10-28,2024-09-30,13.99,1.52,10.88,1.35,,-2.1,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=453798
BFIN,2025-02-24,2024-12-31,9.05,1.39,15.37,1.47,,-1.6,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=459453
BFIN,2025-07-25,2025-06-30,16.58,1.2,7.25,1.41,,,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=469711
GJTL,2024-10-30,2024-09-30,4.85,0.52,10.81,1.18,,6.3,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=454184
GJTL,2025-03-27,2024-12-31,3.11,0.39,12.55,1.17,,5.9,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=461319
GJTL,2025-05-02,2025-03-31,10.8,0.39,3.59,1.19,,-2.2,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=463641
GJTL,2025-08-01,2025-06-30,8.08,0.37,4.63,1.21,,0.0,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470846
INDF,2024-10-31,2024-09-30,7.63,0.62,8.12,0.81,,3.6,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=454397
INDF,2025-03-25,2024-12-31,6.92,0.92,13.27,1.42,,3.7,https://www.indopremier.com/module/newsDetail.php?group_news=RESEARCHNEWS&news_id=460977
INDF,2025-04-30,2025-03-31,25.84,1.04,4.03,1.43,,,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=463456
INDF,2025-08-01,2025-06-30,12.77,0.66,5.18,0.86,,4.4,https://www.indopremier.com/module/newsDetail.php?group_news=RESEARCHNEWS&news_id=470833
ICBP,2024-11-02,2024-09-30,17.37,2.08,12.03,0.83,,8.2,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=454644
ICBP,2025-03-26,2024-12-31,17.15,2.68,15.66,1.3,,6.9,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=461016
ICBP,2025-05-03,2025-03-31,48.44,2.68,5.56,1.27,,1.5,https://ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=463918
ICBP,2025-08-01,2025-06-30,20.92,1.66,7.97,0.9,,1.6,https://www.ipotnews.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&news_id=470775
