Kode,observed_date,PER,PBV,ROE,DER,current_ratio,revenue_growth,source
BBCA,2026-01-31,22.1,4.3,18.5,0.2,1.4,8.0,IDX
TPIA,2026-01-31,,,,,,,IDX
BMRI,2026-01-31,,,,,,,IDX
BBRI,2026-01-31,12.4,2.1,15.2,5.8,,6.5,IDX
BRPT,2026-01-31,,,,,,,IDX
DSSA,2026-01-31,,,,,,,IDX
AMMN,2026-01-31,,,,,,,IDX
ANTM,2026-01-31,,,,,,,IDX
TLKM,2026-01-31,14.2,2.0,16.0,0.6,1.1,5.2,IDX
ASII,2026-01-31,8.9,1.1,13.5,0.8,1.3,4.0,IDX
CUAN,2026-01-31,,,,,,,IDX
DEWA,2026-01-31,,,,,,,IDX
BRMS,2026-01-31,,,,,,,IDX
BREN,2026-01-31,,,,,,,IDX
BBNI,2026-01-31,,,,,,,IDX
MDKA,2026-01-31,,,,,,,IDX
TINS,2026-01-31,,,,,,,IDX
RAJA,2026-01-31,,,,,,,IDX
AMRT,2026-01-31,,,,,,,IDX
UNTR,2026-01-31,,,,,,,IDX
ADRO,2026-01-31,,,,,,,IDX
BULL,2026-01-31,,,,,,,IDX
ENRG,2026-01-31,,,,,,,IDX
INCO,2026-01-31,,,,,,,IDX
MAPI,2026-01-31,,,,,,,IDX
MBMA,2026-01-31,,,,,,,IDX
MEDC,2026-01-31,,,,,,,IDX
KLBF,2026-01-31,,,,,,,IDX
ESSA,2026-01-31,,,,,,,IDX
INDY,2026-01-31,,,,,,,IDX
INDF,2026-01-31,,,,,,,IDX
NCKL,2026-01-31,,,,,,,IDX
INKP,2026-01-31,,,,,,,IDX
PGAS,2026-01-31,,,,,,,IDX
ADMR,2026-01-31,,,,,,,IDX
WIFI,2026-01-31,,,,,,,IDX
ITMG,2026-01-31,,,,,,,IDX
PTBA,2026-01-31,,,,,,,IDX
CPIN,2026-01-31,,,,,,,IDX
JPFA,2026-01-31,,,,,,,IDX
ISAT,2026-01-31,,,,,,,IDX
TAPG,2026-01-31,,,,,,,IDX
BRIS,2026-01-31,,,,,,,IDX
ICBP,2026-01-31,,,,,,,IDX
UNVR,2026-01-31,,,,,,,IDX
AKRA,2026-01-31,,,,,,,IDX
SMGR,2026-01-31,,,,,,,IDX
TOWR,2026-01-31,,,,,,,IDX
BDMN,2026-01-31,,,,,,,IDX
BBTN,2026-01-31,,,,,,,IDX
EMTK,2026-01-31,,,,,,,IDX
GGRM,2026-01-31,,,,,,,IDX
EXCL,2026-01-31,,,,,,,IDX
PGEO,2026-01-31,,,,,,,IDX
ELSA,2026-01-31,,,,,,,IDX
JSMR,2026-01-31,,,,,,,IDX
PWON,2026-01-31,,,,,,,IDX
BFIN,2026-01-31,,,,,,,IDX
MTEL,2026-01-31,,,,,,,IDX
ERAA,2026-01-31,,,,,,,IDX
AALI,2026-01-31,,,,,,,IDX
LSIP,2026-01-31,,,,,,,IDX
MYOR,2026-01-31,,,,,,,IDX
HMSP,2026-01-31,,,,,,,IDX
APIC,2026-01-31,,,,,,,IDX
DSNG,2026-01-31,,,,,,,IDX
SSMS,2026-01-31,,,,,,,IDX
SIDO,2026-01-31,,,,,,,IDX
INTP,2026-01-31,,,,,,,IDX
CTRA,2026-01-31,,,,,,,IDX
BSDE,2026-01-31,,,,,,,IDX
CMRY,2026-01-31,,,,,,,IDX
SCMA,2026-01-31,,,,,,,IDX
ARTO,2026-01-31,,,,,,,IDX
ACES,2026-01-31,,,,,,,IDX
HEAL,2026-01-31,,,,,,,IDX
HRUM,2026-01-31,,,,,,,IDX
FILM,2026-01-31,,,,,,,IDX
BEEF,2026-01-31,,,,,,,IDX
GJTL,2026-01-31,,,,,,,IDX
COIN,2026-01-31,,,,,,,IDX
BJTM,2026-01-31,,,,,,,IDX
SMRA,2026-01-31,,,,,,,IDX
BNGA,2026-01-31,,,,,,,IDX
BAPA,2026-01-31,,,,,,,IDX
BBYB,2026-01-31,,,,,,,IDX
STAA,2026-01-31,,,,,,,IDX
MNCN,2026-01-31,,,,,,,IDX
AUTO,2026-01-31,,,,,,,IDX
ASSA,2026-01-31,,,,,,,IDX
AVIA,2026-01-31,,,,,,,IDX
BTPS,2026-01-31,,,,,,,IDX
BSSR,2026-01-31,,,,,,,IDX
BJBR,2026-01-31,,,,,,,IDX
KAEF,2026-01-31,,,,,,,IDX
LPPF,2026-01-31,,,,,,,IDX
BIRD,2026-01-31,,,,,,,IDX
ASGR,2026-01-31,,,,,,,IDX
ADES,2026-01-31,,,,,,,IDX
TBIG,2026-01-31,,,,,,,IDX
DGWG,2026-01-31,,,,,,,IDX
