ticker,sector_name,subsector_name,industry_name,subindustry_name
AADI,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
AALI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
ABBA,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penerbitan
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
ACES,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga
ACRO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil
ACST,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
ADCP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ADES,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
ADRO,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
AEGS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
AGAR,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
AGII,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar
AGRO,Keuangan,Bank,Bank,Bank
AGRS,Keuangan,Bank,Bank,Bank
AHAP,Keuangan,Asuransi,Asuransi,Asuransi Umum
AIMS,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
AISA,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan
AKKU,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
AKPI,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus
AKRA,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
AKSI,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran
ALDO,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
ALII,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara
ALKA,Barang Baku,Barang Baku,Logam & Mineral,Alumunium
ALMI,Barang Baku,Barang Baku,Logam & Mineral,Alumunium
ALTO,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan
AMAG,Keuangan,Asuransi,Asuransi,Asuransi Umum
AMAN,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
AMAR,Keuangan,Bank,Bank,Bank
AMFG,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
AMIN,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian
AMMN,Barang Baku,Barang Baku,Logam & Mineral,Tembaga
AMMS,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
AMOR,Keuangan,Jasa Investasi,Jasa Investasi,Manajemen Investasi
AMRT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Supermarket
ANDI,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
