ticker,observed_date,period_end,per,pbv,roe,der,current_ratio,revenue_growth,source
CUAN.JK,2025-03-26,2024-12-31,27.13,14.25,52.52,3.96,1.95,718.56,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-03-26 (IDR) + FX USDIDR=X@2025-03-26; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of CUAN' (news_id=461008), published Wednesday March 26, 2025 08:27 WIB"
CUAN.JK,2025-05-06,2025-03-31,3518.98,19.64,0.56,4.5,1.86,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-05-06 (IDR) + FX USDIDR=X@2025-05-06; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of CUAN' (news_id=464231), published Tuesday May 06, 2025 17:43 WIB"
CUAN.JK,2025-07-31,2025-06-30,5388.14,34.3,0.64,5.15,1.5,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-07-31 (IDR) + FX USDIDR=X@2025-07-31; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of CUAN' (news_id=470511), published Thursday July 31, 2025 14:16 WIB"
DEWA.JK,2025-03-26,2024-12-31,40.76,0.74,1.82,1.81,0.76,-18.18,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-03-26 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of DEWA' (news_id=461017), published Wednesday March 26, 2025 08:43 WIB"
DEWA.JK,2025-05-02,2025-03-31,81.5,1.17,1.44,1.03,1.05,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-05-02 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of DEWA' (news_id=463669), published Friday May 02, 2025 15:48 WIB"
DEWA.JK,2025-07-31,2025-06-30,53.28,1.83,3.44,1.05,1.02,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-07-31 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of DEWA' (news_id=470572), published Thursday July 31, 2025 16:38 WIB"
RAJA.JK,2025-03-07,2024-12-31,26.76,4.71,17.6,1.1,1.55,24.9,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-03-07 (IDR) + FX USDIDR=X@2025-03-07; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of RAJA' (news_id=459977), published Friday March 07, 2025 14:23 WIB"
RAJA.JK,2025-04-30,2025-03-31,82.4,2.84,3.44,0.92,2.67,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-04-30 (IDR) + FX USDIDR=X@2025-04-30; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of RAJA' (news_id=463268), published Wednesday April 30, 2025 14:00 WIB"
RAJA.JK,2025-08-05,2025-06-30,60.01,3.68,6.14,1.03,2.04,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-08-05 (IDR) + FX USDIDR=X@2025-08-05; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of RAJA' (news_id=471141), published Tuesday August 05, 2025 17:08 WIB"
AMRT.JK,2025-03-21,2024-12-31,25.59,4.92,19.22,1.29,1.04,10.55,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-03-21 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of AMRT' (news_id=460742), published Friday March 21, 2025 14:28 WIB"
AMRT.JK,2025-05-03,2025-03-31,90.28,5.08,5.63,1.6,1.06,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-05-02 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of AMRT' (news_id=463779), published Saturday May 03, 2025 09:43 WIB"
AMRT.JK,2025-07-31,2025-06-30,51.14,5.73,11.2,1.27,1.04,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-07-31 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of AMRT' (news_id=470570), published Thursday July 31, 2025 16:36 WIB"
ENRG.JK,2025-03-25,2024-12-31,3.34,0.34,10.33,1.27,0.59,11.09,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-03-25 (IDR) + FX USDIDR=X@2025-03-25; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of ENRG' (news_id=460928), published Tuesday March 25, 2025 14:12 WIB"
ENRG.JK,2025-05-02,2025-03-31,16.06,0.39,2.4,1.22,0.59,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-05-02 (IDR) + FX USDIDR=X@2025-05-01; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of ENRG' (news_id=463572), published Friday May 02, 2025 11:06 WIB"
ENRG.JK,2025-09-01,2025-06-30,24.78,1.16,4.67,1.21,0.58,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-09-01 (IDR) + FX USDIDR=X@2025-09-01; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of ENRG' (news_id=472697), published Monday September 01, 2025 11:31 WIB"
NCKL.JK,2025-03-26,2024-12-31,6.58,1.38,20.93,0.52,2.3,13.02,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-03-26 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of NCKL' (news_id=461030), published Wednesday March 26, 2025 08:59 WIB"
NCKL.JK,2025-04-30,2025-03-31,26.64,1.35,5.08,0.49,2.48,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-04-30 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of NCKL' (news_id=463393), published Wednesday April 30, 2025 17:18 WIB"
NCKL.JK,2025-08-04,2025-06-30,14.83,1.86,12.54,0.52,1.54,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-08-04 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of NCKL' (news_id=471057), published Monday August 04, 2025 14:56 WIB"
INKP.JK,2025-04-08,2024-12-31,3.37,0.22,6.62,0.84,2.69,-8.14,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-04-08 (IDR) + FX USDIDR=X@2025-04-08; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of INKP' (news_id=461396), published Tuesday April 08, 2025 14:31 WIB"
INKP.JK,2025-05-02,2025-03-31,12.64,0.27,2.14,0.84,2.79,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-05-02 (IDR) + FX USDIDR=X@2025-05-01; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 1Q 2025 of INKP' (news_id=463719), published Friday May 02, 2025 19:04 WIB"
