ticker,observed_date,period_end,per,pbv,roe,der,current_ratio,revenue_growth,source
BRIS.JK,2025-02-06,2024-12-31,18.96,2.95,15.55,8.07,,13.11,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-02-06 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of BRIS' (news_id=458741), published Thursday February 06, 2025"
BMRI.JK,2025-02-07,2024-12-31,8.62,1.69,19.66,7.45,,8.54,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-02-07 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of BMRI' (news_id=458777), published Friday February 07, 2025"
BMRI.JK,2025-09-19,2025-06-30,16.72,1.53,9.17,8.31,,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-09-19 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of BMRI' (news_id=474264), published Friday September 19, 2025. Keterlambatan terverifikasi tiga sumber: (a) 2025-08-21 BMRI menyatakan di RDP Komisi VI DPR belum menerbitkan lapkeu semester I-2025 (news_id=472120); (b) 2025-09-10 BMRI baru merilis kinerja bulan Juli saja, Juni/kuartal II belum publik (news_id=473396); (c) 2025-09-19 lapkeu H1 terbit. Jadi 2025-09-19 memang tanggal paling awal H1 diketahui pasar, bukan tanggal konservatif."
UNVR.JK,2025-02-13,2024-12-31,16.02,25.12,156.74,6.47,0.45,-20.69,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-02-13 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of UNVR' (news_id=459055), published Thursday February 13, 2025"
ITMG.JK,2025-02-27,2024-12-31,4.58,0.89,19.4,0.25,4.48,-2.94,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-02-27 (IDR) + FX USDIDR=X@2025-02-27; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of ITMG' (news_id=459571), published Thursday February 27, 2025"
ITMG.JK,2025-08-11,2025-06-30,18.06,0.88,4.89,0.28,4.1,,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-08-11 (IDR) + FX USDIDR=X@2025-08-11; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of ITMG' (news_id=471527), published Monday August 11, 2025"
UNTR.JK,2025-02-27,2024-12-31,4.36,0.92,21.01,0.77,1.54,4.54,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-02-27 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of UNTR' (news_id=459591), published Thursday February 27, 2025"
AKRA.JK,2025-03-19,2024-12-31,9.72,1.87,19.24,1.6,1.56,-7.98,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-03-19 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of AKRA' (news_id=460553), published Wednesday March 19, 2025"
CPIN.JK,2025-03-19,2024-12-31,19.87,2.44,12.26,0.41,2.48,9.51,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-03-19 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of CPIN' (news_id=460557), published Wednesday March 19, 2025"
CPIN.JK,2025-08-02,2025-06-30,41.16,2.57,6.25,0.42,2.49,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-08-01 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of CPIN' (news_id=470963), published Saturday August 02, 2025"
MAPI.JK,2025-03-27,2024-12-31,12.63,1.91,15.11,1.29,1.44,11.72,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-03-27 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of MAPI' (news_id=461217), published Thursday March 27, 2025"
PTBA.JK,2025-04-08,2024-12-31,5.46,1.24,22.68,0.85,1.27,11.11,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-04-08 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of PTBA' (news_id=461434), published Tuesday April 08, 2025"
PTBA.JK,2025-07-31,2025-06-30,33.45,1.42,4.24,1.17,1.01,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-07-31 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of PTBA' (news_id=470536), published Thursday July 31, 2025"
INDY.JK,2025-04-09,2024-12-31,27.78,0.23,0.84,1.33,2.15,-19.17,"Yahoo fundamentalsTimeSeries (USD) + Yahoo close 2025-04-09 (IDR) + FX USDIDR=X@2025-04-09; observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of INDY' (news_id=461690), published Wednesday April 09, 2025"
TINS.JK,2025-04-10,2024-12-31,5.54,0.91,16.47,0.68,2.34,29.37,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-04-10 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements Full Year 2024 of TINS' (news_id=461788), published Thursday April 10, 2025"
BBNI.JK,2025-07-25,2025-06-30,15.1,0.95,6.29,6.46,,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-07-25 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of BBNI' (news_id=469635), published Friday July 25, 2025"
ANTM.JK,2025-08-30,2025-06-30,15.56,2.25,14.44,0.45,1.73,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo close 2025-08-29 (IDR); observed_date verified: IPOTNEWS RESEARCHNEWS 'Financial Statements 2Q 2025 of ANTM' (news_id=472656), published Saturday August 30, 2025. Rilis memang telat karena ANTM meminta limited review auditor eksternal atas laporan interim H1 2025 - lihat catatan deliberately_missing pada worklist batch A yang kini terselesaikan."
