No,Kode,Nama Emiten,Kode_YFinance,Papan
1,AALI,Astra Agro Lestari Tbk.,AALI.JK,Pengembangan
2,ABBA,Mahaka Media Tbk.,ABBA.JK,Akselerasi
3,ABDA,Asuransi Bina Dana Arta Tbk.,ABDA.JK,Utama
4,ABGW,ABGW Company Tbk.,ABGW.JK,Pengembangan
5,ABID,ABID Company Tbk.,ABID.JK,Akselerasi
6,ABMJ,ABMJ Company Tbk.,ABMJ.JK,Utama
7,ABMM,ABM Investama Tbk.,ABMM.JK,Pengembangan
8,ACES,Ace Hardware Indonesia Tbk.,ACES.JK,Akselerasi
9,ACST,Acset Indonusa Tbk.,ACST.JK,Utama
10,ADAC,ADAC Company Tbk.,ADAC.JK,Pengembangan
11,ADES,Akasha Wira International Tbk.,ADES.JK,Akselerasi
12,ADHI,Adhi Karya (Persero) Tbk.,ADHI.JK,Utama
13,ADMF,Adira Dinamika Multi Finance Tbk.,ADMF.JK,Pengembangan
14,ADMG,Polychem Indonesia Tbk.,ADMG.JK,Akselerasi
15,ADMR,Adaro Minerals Indonesia Tbk.,ADMR.JK,Utama
16,ADRO,Adaro Energy Indonesia Tbk.,ADRO.JK,Pengembangan
17,AFPJ,AFPJ Company Tbk.,AFPJ.JK,Akselerasi
18,AGAR,Asia Sejahtera Mina Tbk.,AGAR.JK,Utama
19,AGII,Aneka Gas Industri Tbk.,AGII.JK,Pengembangan
20,AGPH,AGPH Company Tbk.,AGPH.JK,Akselerasi
21,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,AGRO.JK,Utama
22,AGRS,Bank IBK Indonesia Tbk.,AGRS.JK,Pengembangan
23,AHAP,Asuransi Harta Aman Pratama Tbk.,AHAP.JK,Akselerasi
24,AHQJ,AHQJ Company Tbk.,AHQJ.JK,Utama
25,AIKO,AIKO Company Tbk.,AIKO.JK,Pengembangan
26,AIMS,Akbar Indo Makmur Stimec Tbk.,AIMS.JK,Akselerasi
27,AISA,FKS Food Sejahtera Tbk.,AISA.JK,Utama
28,AKKU,Anugerah Kagum Karya Utama Tbk.,AKKU.JK,Pengembangan
29,AKPI,Argha Karya Prima Industry Tbk.,AKPI.JK,Akselerasi
30,AKRA,AKR Corporindo Tbk.,AKRA.JK,Utama
31,AKSI,Maja Agung Latexindo Tbk.,AKSI.JK,Pengembangan
32,ALDO,Alkindo Naratama Tbk.,ALDO.JK,Akselerasi
33,ALKA,Alakasa Industrindo Tbk.,ALKA.JK,Utama
34,ALMI,Alumindo Light Metal Industry Tbk.,ALMI.JK,Pengembangan
35,ALTO,Tri Banyan Tirta Tbk.,ALTO.JK,Akselerasi
36,ALYY,ALYY Company Tbk.,ALYY.JK,Utama
37,AMAE,AMAE Company Tbk.,AMAE.JK,Pengembangan
38,AMAG,Asuransi Multi Artha Guna Tbk.,AMAG.JK,Akselerasi
39,AMAR,Bank Amar Indonesia Tbk.,AMAR.JK,Utama
40,AMFG,Asahimas Flat Glass Tbk.,AMFG.JK,Pengembangan
41,AMHI,AMHI Company Tbk.,AMHI.JK,Akselerasi
42,AMIN,Ateliers Mecaniques D Indonesie Tbk.,AMIN.JK,Utama
43,AMMN,Amman Mineral Internasional Tbk.,AMMN.JK,Pengembangan
44,AMOR,Ashmore Asset Management Indonesia Tbk.,AMOR.JK,Akselerasi
45,AMRT,Sumber Alfaria Trijaya Tbk.,AMRT.JK,Utama
46,ANDI,Andira Agro Tbk.,ANDI.JK,Pengembangan
47,ANJT,Austindo Nusantara Jaya Tbk.,ANJT.JK,Akselerasi
48,ANTM,Aneka Tambang Tbk.,ANTM.JK,Utama
49,ANTW,ANTW Company Tbk.,ANTW.JK,Pengembangan
50,AOQD,AOQD Company Tbk.,AOQD.JK,Akselerasi
51,APEX,Apexindo Pratama Duta Tbk.,APEX.JK,Utama
52,APIC,Pacific Strategic Financial Tbk.,APIC.JK,Pengembangan
53,APII,Arita Prima Indonesia Tbk.,APII.JK,Akselerasi
54,APLI,Asiaplast Industries Tbk.,APLI.JK,Utama
55,APLN,Agung Podomoro Land Tbk.,APLN.JK,Pengembangan
56,AQFG,AQFG Company Tbk.,AQFG.JK,Akselerasi
57,ARDJ,ARDJ Company Tbk.,ARDJ.JK,Utama
58,ARGO,Argo Pantes Tbk.,ARGO.JK,Pengembangan
59,ARII,Atlas Resources Tbk.,ARII.JK,Akselerasi
60,ARKA,Arkha Jayanti Persada Tbk.,ARKA.JK,Utama
61,ARMY,Armidian Karyatama Tbk.,ARMY.JK,Pengembangan
62,ARNA,Arwana Citramulia Tbk.,ARNA.JK,Akselerasi
63,ARTA,Arthavest Tbk.,ARTA.JK,Utama
64,ARTI,Ratu Prabu Energi Tbk.,ARTI.JK,Pengembangan
65,ARTO,Bank Jago Tbk.,ARTO.JK,Akselerasi
66,ASBI,Asuransi Bintang Tbk.,ASBI.JK,Utama
67,ASDM,Asuransi Dayin Mitra Tbk.,ASDM.JK,Pengembangan
68,ASGR,Astra Graphia Tbk.,ASGR.JK,Akselerasi
69,ASII,Astra International Tbk.,ASII.JK,Utama
70,ASJT,Asuransi Jasa Tania Tbk.,ASJT.JK,Pengembangan
71,ASMI,Asuransi Kresna Mitra Tbk.,ASMI.JK,Akselerasi
72,ASPS,ASPS Company Tbk.,ASPS.JK,Utama
73,ASRI,Alam Sutera Realty Tbk.,ASRI.JK,Pengembangan
74,ASRM,Asuransi Ramayana Tbk.,ASRM.JK,Akselerasi
75,ASSA,Adi Sarana Armada Tbk.,ASSA.JK,Utama
76,ATIC,Anabatic Technologies Tbk.,ATIC.JK,Pengembangan
77,ATYS,ATYS Company Tbk.,ATYS.JK,Akselerasi
78,AUDU,AUDU Company Tbk.,AUDU.JK,Utama
79,AUJL,AUJL Company Tbk.,AUJL.JK,Pengembangan
80,AUTO,Astra Otoparts Tbk.,AUTO.JK,Akselerasi
81,AVIA,Avia Avian Tbk.,AVIA.JK,Utama
82,AYPD,AYPD Company Tbk.,AYPD.JK,Pengembangan
83,AYVM,AYVM Company Tbk.,AYVM.JK,Akselerasi
84,BABP,Bank MNC Internasional Tbk.,BABP.JK,Utama
85,BACA,Bank Capital Indonesia Tbk.,BACA.JK,Pengembangan
86,BAJA,Saranacentral Bajatama Tbk.,BAJA.JK,Akselerasi
87,BALI,Bali Towerindo Sentra Tbk.,BALI.JK,Utama
88,BAPA,Bekasi Asri Pemula Tbk.,BAPA.JK,Pengembangan
89,BAPI,Bhakti Agung Propertindo Tbk.,BAPI.JK,Akselerasi
90,BATA,Sepatu Bata Tbk.,BATA.JK,Utama
91,BAYU,Bayu Buana Tbk.,BAYU.JK,Pengembangan
92,BBCA,Bank Central Asia Tbk.,BBCA.JK,Akselerasi
93,BBHI,Allo Bank Indonesia Tbk.,BBHI.JK,Utama
94,BBKP,Bank KB Bukopin Tbk.,BBKP.JK,Pengembangan
95,BBLD,Buana Finance Tbk.,BBLD.JK,Akselerasi
96,BBMD,Bank Mestika Dharma Tbk.,BBMD.JK,Utama
97,BBNI,Bank Negara Indonesia (Persero) Tbk.,BBNI.JK,Pengembangan
98,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,BBRI.JK,Akselerasi
99,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,BBRM.JK,Utama
100,BBTN,Bank Tabungan Negara (Persero) Tbk.,BBTN.JK,Pengembangan
101,BBYB,Bank Neo Commerce Tbk.,BBYB.JK,Akselerasi
102,BCAP,MNC Kapital Indonesia Tbk.,BCAP.JK,Utama
103,BCIC,Bank JTrust Indonesia Tbk.,BCIC.JK,Pengembangan
104,BCIP,Bumi Citra Permai Tbk.,BCIP.JK,Akselerasi
105,BDMN,Bank Danamon Indonesia Tbk.,BDMN.JK,Utama
106,BEEF,Estika Tata Tiara Tbk.,BEEF.JK,Pengembangan
107,BEHV,BEHV Company Tbk.,BEHV.JK,Akselerasi
108,BEIN,BEIN Company Tbk.,BEIN.JK,Utama
109,BEKS,Bank Pembangunan Daerah Banten Tbk.,BEKS.JK,Pengembangan
110,BELI,Blibli - Global Digital Niaga Tbk.,BELI.JK,Akselerasi
111,BELL,Trisula Textile Industries Tbk.,BELL.JK,Utama
112,BEST,Bekasi Fajar Industrial Estate Tbk.,BEST.JK,Pengembangan
113,BETW,BETW Company Tbk.,BETW.JK,Akselerasi
114,BEZJ,BEZJ Company Tbk.,BEZJ.JK,Utama
115,BEZY,BEZY Company Tbk.,BEZY.JK,Pengembangan
116,BFIN,BFI Finance Indonesia Tbk.,BFIN.JK,Akselerasi
117,BFMJ,BFMJ Company Tbk.,BFMJ.JK,Utama
118,BGTG,Bank Ganesha Tbk.,BGTG.JK,Pengembangan
119,BHCA,BHCA Company Tbk.,BHCA.JK,Akselerasi
120,BHIT,MNC Investama Tbk.,BHIT.JK,Utama
121,BIHP,BIHP Company Tbk.,BIHP.JK,Pengembangan
122,BIKA,Binakarya Jaya Abadi Tbk.,BIKA.JK,Akselerasi
123,BIMA,Primarindo Asia Infrastructure Tbk.,BIMA.JK,Utama
124,BINA,Bank Ina Perdana Tbk.,BINA.JK,Pengembangan
125,BINO,Perma Plasindo Tbk.,BINO.JK,Akselerasi
126,BIPI,Astrindo Nusantara Infrastruktur Tbk.,BIPI.JK,Utama
127,BIPP,Bhuwanatala Indah Permai Tbk.,BIPP.JK,Pengembangan
128,BIRD,Blue Bird Tbk.,BIRD.JK,Akselerasi
129,BISI,BISI International Tbk.,BISI.JK,Utama
130,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,BJBR.JK,Pengembangan
131,BJCO,BJCO Company Tbk.,BJCO.JK,Akselerasi
