Kode,Nama Emiten,Tanggal IPO,Tahun,Kode_YFinance
LCKM,PT LCK Global Kedaton Tbk,2018-01-16,2018,LCKM.JK
BOSS,PT Borneo Olah Sarana Sukses Tbk.,2018-02-15,2018,BOSS.JK
HELI,PT Jaya Trishindo Tbk,2018-03-27,2018,HELI.JK
JSKY,PT Sky Energy Indonesia Tbk.,2018-03-28,2018,JSKY.JK
INPS,PT Indah Prakasa Sentosa Tbk.,2018-04-06,2018,INPS.JK
GHON,PT Gihon Telekomunikasi Indonesia Tbk,2018-04-09,2018,GHON.JK
DFAM,PT Dafam Property Indonesia Tbk,2018-04-27,2018,DFAM.JK
NICK,PT Charnic Capital Tbk.,2018-05-02,2018,NICK.JK
BTPS,PT Bank BTPN Syariah Tbk.,2018-05-08,2018,BTPS.JK
SPTO,PT Surya Pertiwi Tbk,2018-05-14,2018,SPTO.JK
PRIM,PT Royal Prima Tbk.,2018-05-15,2018,PRIM.JK
HEAL,PT Medikaloka Hermina Tbk.,2018-05-16,2018,HEAL.JK
TRUK,PT Guna Timur Raya Tbk.,2018-05-23,2018,TRUK.JK
PZZA,PT Sarimelati Kencana Tbk.,2018-05-23,2018,PZZA.JK
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk,2018-05-28,2018,TUGU.JK
MSIN,PT MNC Studios International Tbk.,2018-06-08,2018,MSIN.JK
SWAT,PT Sriwahana Adityakarta Tbk.,2018-06-08,2018,SWAT.JK
KPAL,PT Steadfast Marine Tbk,2018-06-08,2018,KPAL.JK
TNCA,PT Trimuda Nuansa Citra Tbk.,2018-06-28,2018,TNCA.JK
MAPA,PT MAP Aktif Adiperkasa Tbk.,2018-07-05,2018,MAPA.JK
TCPI,PT Transcoal Pacific Tbk.,2018-07-06,2018,TCPI.JK
IPCC,PT Indonesia Kendaraan Terminal Tbk.,2018-07-09,2018,IPCC.JK
RISE,PT Jaya Sukses Makmur Sentosa Tbk.,2018-07-09,2018,RISE.JK
BPTR,PT Batavia Prosperindo Trans Tbk.,2018-07-09,2018,BPTR.JK
POLL,PT Pollux Properti Indonesia Tbk.,2018-07-11,2018,POLL.JK
NFCX,PT NFC Indonesia Tbk,2018-07-12,2018,NFCX.JK
MGRO,PT Mahkota Group Tbk.,2018-07-12,2018,MGRO.JK
NUSA,PT Sinergi Megah Internusa Tbk,2018-07-12,2018,NUSA.JK
FILM,PT MD Pictures Tbk.,2018-08-07,2018,FILM.JK
ANDI,PT Andira Agro Tbk,2018-08-16,2018,ANDI.JK
LAND,PT Trimitra Propertindo Tbk.,2018-08-23,2018,LAND.JK
MOLI,PT Madusari Murni Indah Tbk.,2018-08-30,2018,MOLI.JK
PANI,PT Pratama Abadi Nusa Industri Tbk.,2018-09-18,2018,PANI.JK
DIGI,PT Arkadia Digital Media Tbk,2018-09-18,2018,DIGI.JK
CITY,PT Natura City Developments Tbk.,2018-09-28,2018,CITY.JK
SAPX,PT Satria Antaran Prima Tbk.,2018-10-03,2018,SAPX.JK
KPAS,PT Cottonindo Ariesta Tbk.,2018-10-05,2018,KPAS.JK
SURE,PT Super Energy Tbk.,2018-10-05,2018,SURE.JK
HKMU,PT HK Metals Utama Tbk,2018-10-09,2018,HKMU.JK
MPRO,PT Propertindo Mulia Investama Tbk.,2018-10-09,2018,MPRO.JK
DUCK,PT Jaya Bersama Indo Tbk.,2018-10-10,2018,DUCK.JK
GOOD,PT Garudafood Putra Putri Jaya Tbk.,2018-10-10,2018,GOOD.JK
SKRN,PT Superkrane Mitra Utama Tbk,2018-10-11,2018,SKRN.JK
YELO,PT Yelooo Integra Datanet Tbk.,2018-10-29,2018,YELO.JK
CAKK,PT Cahayaputra Asa Keramik Tbk.,2018-10-31,2018,CAKK.JK
SATU,PT Kota Satu Properti Tbk.,2018-11-05,2018,SATU.JK
SOSS,PT Shield On Service Tbk.,2018-11-06,2018,SOSS.JK
DEAL,PT Dewata Freightinternational Tbk.,2018-11-09,2018,DEAL.JK
POLA,PT Pool Advista Finance Tbk.,2018-11-16,2018,POLA.JK
DIVA,PT Distribusi Voucher Nusantara Tbk,2018-11-27,2018,DIVA.JK
LUCK,PT Sentral Mitra Informatika Tbk.,2018-11-28,2018,LUCK.JK
URBN,PT Urban Jakarta Propertindo Tbk.,2018-12-10,2018,URBN.JK
SOTS,PT Satria Mega Kencana Tbk.,2018-12-10,2018,SOTS.JK
ZONE,PT Mega Perintis Tbk.,2018-12-12,2018,ZONE.JK
PEHA,PT Phapros Tbk.,2018-12-26,2018,PEHA.JK
FOOD,PT Sentra Food Indonesia Tbk.,2019-01-08,2019,FOOD.JK
BEEF,PT Estika Tata Tiara Tbk.,2019-01-10,2019,BEEF.JK
POLI,PT Pollux Investasi Internasional Tbk.,2019-01-10,2019,POLI.JK
CLAY,PT Citra Putra Realty Tbk,2019-01-18,2019,CLAY.JK
NATO,PT Surya Permata Nusantara Properti Tbk,2019-01-18,2019,NATO.JK
